epoch,train_loss,train_acc,train_precision,train_recall,train_f1,val_loss,val_acc,val_precision,val_recall,val_f1,epoch_time_minutes
1,0.33238186840638173,0.901533315871129,0.9410745751575427,0.9153497559841971,0.9280339287555038,0.2918662851245466,0.9320959710276143,0.9748571428571429,0.922411462557448,0.9479094318655369,20.294731378555298
2,0.19357761751132826,0.9801132356793133,0.9921113825685103,0.979113409249361,0.9855695425237949,0.2520778628004628,0.959167043911272,0.9758871078229895,0.9628277912949446,0.9693134653330612,19.26859970887502
3,0.17359852673739315,0.9885555398843465,0.9951734628210378,0.9882930513595166,0.9917213234222416,0.2861531026310622,0.9454956994114985,0.9785915492957746,0.9391727493917275,0.9584770313146641,19.298291754722595
4,0.1674731745083475,0.991053978360299,0.996319233465763,0.9907622588891472,0.9935329759962712,0.29157303714236826,0.9434133091896786,0.9815157116451017,0.9330900243309003,0.9566904580417157,19.339675120512645
5,0.16314253199041887,0.993169591585904,0.9974314818598407,0.9927085754125029,0.9950644245468443,0.25615435317968177,0.9581711181530104,0.9560757496054708,0.9826980264936469,0.9692041061191841,19.355351599057517
6,0.16130644075667216,0.9939150933892124,0.9976373818690935,0.9935800604229608,0.9956045875298364,0.23748113880057906,0.9695789950203713,0.9683023872679045,0.9868883482022168,0.9775070290534208,19.316943836212157
7,0.15950158346496984,0.9946001491003607,0.9976977327038526,0.9945096444341157,0.9961011376531176,0.23399482128737792,0.9699411498415572,0.9741009125067096,0.9812111381454447,0.9776430976430976,19.328895672162375
8,0.1586018631902084,0.9950635691402551,0.997931295708167,0.9949453869393446,0.9964361044439596,0.257198043842157,0.9636034404708013,0.9812878370941112,0.9640443363071101,0.9725896631665075,19.34325302839279
9,0.1582555675665238,0.9949225282585481,0.9981050667599557,0.9945677434348129,0.9963332654308413,0.2647096663500967,0.9599818922589407,0.9802540734603701,0.9595836712625033,0.9698087431693989,19.52949219942093
10,0.15733724383797598,0.9955874352723096,0.9986006238885163,0.9950325354403904,0.9968133866860677,0.24274271754737675,0.9653236758714351,0.970111245141402,0.9783725331170586,0.974224375799179,19.266003958384196
11,0.15743871517477168,0.9954866917853761,0.9983388704318937,0.9951487334417848,0.9967412493817103,0.2599466299807637,0.9605251244907198,0.9738633269806698,0.9670181130035145,0.9704286489419425,19.311476035912833
12,0.15629713287125285,0.9960105579174307,0.9983401281304601,0.9959040204508482,0.9971205863533245,0.2588398463855425,0.9639655952919873,0.9684154175588865,0.9781021897810219,0.9732347007397445,19.324202517668407
13,0.15658929169159094,0.9955874352723096,0.9985424865180003,0.9950906344410876,0.9968135721456736,0.26000611812901636,0.9626980534178361,0.9692369693713058,0.9752635847526359,0.972240937878992,19.34136643807093
14,0.15598618553289392,0.9959501118252705,0.9981658854697371,0.995991168951894,0.997077341398514,0.2620778943430978,0.9637845178813943,0.9745050176295091,0.9713436063801028,0.9729217438396968,19.329942870140076
15,0.15605322776212144,0.9959904092200439,0.998659556488038,0.9955554264466652,0.9971050755735297,0.28361493438590213,0.9548211860570394,0.9782337446277555,0.9537712895377128,0.9658476490315516,19.337761823336283
16,0.15532195759547118,0.9963127883782313,0.9986020910388211,0.9960783174529398,0.9973386076409593,0.25587970769752094,0.9629696695337256,0.9666177059687542,0.9785077047850771,0.9725263652851481,19.887153991063435
17,0.15558930340119187,0.9962724909834579,0.998602009611184,0.9960202184522426,0.9973094431274452,0.2541214327900023,0.9646899049343595,0.9741542625169147,0.9731008380643417,0.973627265350284,19.322617185115813
18,0.15511691567519784,0.9965747214442586,0.9984865242447174,0.9965721589588659,0.9975284231339595,0.2560857406824544,0.9671344499773653,0.9778562695285966,0.9729656663963233,0.9754048377261332,19.31071593761444
19,0.1549915978853343,0.9968366545102859,0.9986902232441714,0.9967464559609575,0.9977173928846629,0.240921707292146,0.9723856948845632,0.9715463369232815,0.9876993782103272,0.9795562705275153,19.310715715090435
20,0.15447333138423694,0.9970582901815398,0.9988648271044359,0.9968917034627004,0.9978772899098575,0.2327783610912916,0.9723856948845632,0.9701710194882672,0.9891862665585294,0.9795863730673985,19.331939216454824
21,0.1544056332634255,0.9970179927867663,0.9987776484284051,0.996920752963049,0.9978483368225168,0.2553351222649183,0.9664101403349932,0.9637059522238353,0.9870235198702352,0.9752253756260434,19.32705963452657
22,0.1546208054885328,0.9970985875763132,0.9987487633125763,0.997066000464792,0.9979066724814654,0.2484974828813075,0.967949298325034,0.9662430500397141,0.98661800486618,0.9763242375601926,19.334577691555022
23,0.15392738301511502,0.9974209667345006,0.9987493455878076,0.9975307924703695,0.9981396971194373,0.25496543608825095,0.9665006790402897,0.9691588785046729,0.9812111381454447,0.9751477700161204,19.32644319931666
24,0.15417859277383356,0.9971993310632468,0.9987779685181414,0.9971821984661864,0.9979794455831262,0.26135257182448035,0.9641466727025804,0.9694288012872083,0.9772911597729116,0.9733441033925686,19.366331895192463
25,0.15394248839136224,0.9973605206423405,0.9985752086301649,0.9976179409714153,0.9980963452735595,0.24494533926693765,0.9689452240832956,0.9708984114270458,0.9831035414977021,0.9769628584861307,19.38606688181559
