epoch,train_loss,train_acc,train_precision,train_recall,train_f1,val_loss,val_acc,val_precision,val_recall,val_f1,epoch_time_minutes
1,0.33199259153780253,0.901875843726703,0.9416846006695361,0.915204508482454,0.9282557454331173,0.3020427382399778,0.9303757356269805,0.9633720117433244,0.9314679643146796,0.9471513985293107,20.76421591043472
2,0.19480002049820344,0.979790856521126,0.9915865031035801,0.979171508250058,0.9853399009018227,0.2809484338483129,0.9435943866002716,0.9804283080414126,0.9344417410110841,0.9568828292615406,19.20872279802958
3,0.1732686312708901,0.9891600008059479,0.9952355898515141,0.9891064373692773,0.9921615478757503,0.26334112896948664,0.9535536441828882,0.9842453228302153,0.9457961611246283,0.9646377610808575,19.498203492164613
4,0.16697684019357845,0.9912554653341662,0.9967845659163987,0.9905879618870556,0.993676603432701,0.2730615930647778,0.9518334087822544,0.9780005569479253,0.9494457961611247,0.9635116598079561,19.283062620957693
5,0.1629110326436657,0.9935121194414781,0.9972876808212786,0.993347664420172,0.9953137734311328,0.2656139052871424,0.9523766410140335,0.9441571871768356,0.987293863206272,0.9652438218580679,19.25697937409083
6,0.16139539174758213,0.9937136064153452,0.9976657329598506,0.9932605159191262,0.9954582508442995,0.22277136548152873,0.975011317338162,0.9787577305727346,0.9840497431738308,0.9813966028579132,19.24197889169057
7,0.15966431661142969,0.9945195543108138,0.9979877515310586,0.9941029514292354,0.9960415635823849,0.2382317207760404,0.9655952919873246,0.9796336796063423,0.9687753446877534,0.9741742558107924,19.25584057569504
8,0.1585993717953799,0.9949225282585481,0.9982212631947279,0.9944515454334185,0.9963328385575831,0.24796013526851207,0.9657763693979176,0.971647406611126,0.9774263314409299,0.9745283018867924,19.232116572062175
9,0.1578522956868383,0.9950837178376418,0.9981345458785122,0.994771089937253,0.9964499796310307,0.24258718979188681,0.9663196016296967,0.9818930041152263,0.967558799675588,0.9746732026143791,19.25530598560969
10,0.15771960053295758,0.9954665430879893,0.9981646030589949,0.9952939809435277,0.9967272251232745,0.24256355601597718,0.9669533725667723,0.9744973687761436,0.9762097864287645,0.9753528259841988,19.235496234893798
11,0.15720032648596252,0.9952247587193488,0.9985126425384234,0.9945967929351616,0.9965508710142186,0.23483137574237414,0.9699411498415572,0.9700638637573177,0.985536631522033,0.9777390371463055,19.547754883766174
12,0.15691852094151643,0.996050855312204,0.9980791618160652,0.9962235649546828,0.9971505001163061,0.23670831503318737,0.9706654594839293,0.9748925886143931,0.9814814814814815,0.978175939647043,20.40005004008611
13,0.15621172049472395,0.9959501118252705,0.9986013578484222,0.9955554264466652,0.9970760659267125,0.2419656111400502,0.9663196016296967,0.972940226171244,0.9768856447688564,0.9749089437474706,19.949101074536642
14,0.1562475953568251,0.996191896193911,0.9983986024166546,0.9961073669532884,0.9972516686297606,0.23559490200680216,0.9720235400633771,0.9754527162977867,0.9829683698296837,0.9791961219955565,20.06356418132782
15,0.1559282524854954,0.9961515987991376,0.9986017652713449,0.995845921450151,0.9972219394062805,0.2353608606991157,0.9729289271163423,0.9745955341623211,0.9852662881859963,0.9799018619345298,20.06404320796331
