epoch,train_loss,train_acc,train_precision,train_recall,train_f1,val_loss,val_acc,val_precision,val_recall,val_f1
1,0.1566140095213274,0.931255946717412,0.8834080717488789,0.9511164755582378,0.9160127869805289,0.46279197666850547,0.8913282107574094,0.8129675810473815,0.9314285714285714,0.8681757656458056
2,0.03638981334771164,0.9871550903901046,0.9796529024536206,0.987929993964997,0.9837740384615384,0.43506256656895154,0.8649835345773875,0.8075880758807588,0.8514285714285714,0.8289290681502086
3,0.024453605150971846,0.9931018078020932,0.9903614457831326,0.992154496077248,0.9912571600844137,0.6225787102055571,0.8605927552140505,0.8038147138964578,0.8428571428571429,0.8228730822873083
4,0.01318009144477688,0.9959562321598477,0.99338146811071,0.996378998189499,0.9948779752937632,0.5468722550833242,0.8726673984632273,0.8401162790697675,0.8257142857142857,0.8328530259365994
5,0.01909760138521469,0.9931018078020932,0.9874251497005988,0.9951719975859988,0.9912834385332131,0.5307588907672203,0.8682766190998902,0.8304597701149425,0.8257142857142857,0.828080229226361
6,0.013122960972344036,0.9954804947668887,0.9915966386554622,0.9969824984912492,0.9942822750526633,0.8719162473378685,0.8419319429198683,0.8259493670886076,0.7457142857142857,0.7837837837837838
7,0.006232419323327231,0.9978591817316841,0.996984318455971,0.9975859987929994,0.9972850678733032,0.6951905543230921,0.8825466520307355,0.8029925187032418,0.92,0.8575233022636485
8,0.008639577470091106,0.9973834443387251,0.9957831325301205,0.9975859987929994,0.9966837503768465,0.5545332961013679,0.8858397365532382,0.8342391304347826,0.8771428571428571,0.8551532033426184
9,0.006213240073166932,0.9978591817316841,0.996984318455971,0.9975859987929994,0.9972850678733032,0.5241600376356782,0.8803512623490669,0.8213333333333334,0.88,0.8496551724137931
10,0.0033624371165212187,0.9995242626070409,0.9987944544906571,1.0,0.9993968636911942,0.7854646296143925,0.8660812294182217,0.8202247191011236,0.8342857142857143,0.8271954674220963
11,0.0005158326184080442,1.0,1.0,1.0,1.0,0.674621594835412,0.8726673984632273,0.8145161290322581,0.8657142857142858,0.8393351800554016
12,0.0006267570041227606,0.9997621313035204,0.9993968636911942,1.0,0.9996983408748115,0.5586838118148753,0.8748627881448957,0.8277777777777777,0.8514285714285714,0.8394366197183099
13,0.0008453903823487724,0.9997621313035204,0.9993968636911942,1.0,0.9996983408748115,0.834118250047054,0.8243688254665203,0.7745664739884393,0.7657142857142857,0.7701149425287356
14,0.0007114111543581538,1.0,1.0,1.0,1.0,0.9245788393112071,0.8562019758507134,0.8033240997229917,0.8285714285714286,0.8157524613220816
15,0.0003054849767517923,1.0,1.0,1.0,1.0,0.7277470739635469,0.8682766190998902,0.8091397849462365,0.86,0.8337950138504155
