epoch,train_loss,train_acc,train_precision,train_recall,train_f1,val_loss,val_acc,val_precision,val_recall,val_f1,epoch_time_minutes
1,0.23054044521704317,0.9012512341077149,0.9469254291683067,0.908552172902626,0.9273420010970602,0.15499239215303,0.9417836124943413,0.9735034347399412,0.9386320627196539,0.9557497763402382,9.514160903294881
2,0.06694093137839076,0.9748141282666075,0.9889458790237,0.9745816871949803,0.9817112424650319,0.1566217303519999,0.9435038478949751,0.9773111612175873,0.9374155177074885,0.9569477024975852,6.24335629940033
3,0.04322942577449069,0.9831153915899337,0.9933603619484106,0.9822217057866605,0.9877596330811252,0.2140637458450332,0.9486645540968764,0.9700013760836659,0.9528250878615843,0.9613365155131265,5.956845120588938
4,0.03937641734766186,0.9851504100259918,0.9943647089900501,0.9841680223100163,0.989240090517556,0.15528668148687874,0.9541874151199637,0.9763616256566215,0.9547174912138415,0.9654182613449973,5.908569558461507
5,0.03314311288380997,0.9870846849751164,0.9948150101063362,0.9865210318382523,0.9906506614547629,0.11513514946315301,0.9622453598913535,0.9649660317037432,0.979183563125169,0.9720228111372022,5.920788427193959
6,0.03078175828349498,0.9882130120287723,0.99543205177008,0.9875377643504532,0.9914691943127962,0.13142486732614686,0.9655047532820281,0.9768927551991301,0.9714787780481211,0.9741782446628262,5.925440053145091
7,0.029162371380023987,0.9891197034111745,0.9958440646218684,0.9884382988612596,0.9921273617914625,0.09275464689342516,0.9718424626527841,0.9825684325207681,0.9752635847526359,0.9789023811139,5.909369615713755
8,0.025421060539372865,0.9901674356752836,0.9961113385182153,0.9896874273762492,0.9928889925101274,0.11404255316727055,0.9692168401991852,0.972043873729267,0.9822925114895917,0.9771413204249025,5.929494126637777
9,0.02570579090579716,0.9903286252543773,0.9962282907432314,0.9898036253776435,0.993005566403404,0.1565168781064488,0.9534631054775917,0.9826135726303982,0.9472830494728305,0.9646249139710943,5.938071322441101
10,0.0252992944442645,0.9902883278596039,0.9963441740758072,0.989629328375552,0.9929753993237729,0.12051812941095637,0.9628791308284291,0.9775833788955713,0.9667477696674777,0.9721353812695392,6.011056729157766
11,0.025799751282905254,0.9897040156353891,0.9961377534599292,0.9889902393678829,0.9925511289922887,0.10507425157942797,0.9703938433680398,0.9690858431736765,0.987293863206272,0.9781051221961835,5.963963647683461
12,0.022869036475524206,0.9907517478994983,0.99634663159433,0.9902974668835696,0.9933128396392721,0.14057524882825947,0.9510185604345858,0.9874875586520688,0.9387672343876723,0.9625112604809092,5.9836548328399655
13,0.022930012490992014,0.9912151679393927,0.9966101694915255,0.99070415988845,0.9936483887885321,0.09642309924993742,0.9759167043911272,0.9812415654520917,0.9828331981616654,0.9820367368989735,5.959780025482178
14,0.022597126294813506,0.9912756140315528,0.9966394903714094,0.9907622588891472,0.993692184427125,0.12783485286007623,0.9559076505205976,0.9851186297908184,0.948499594484996,0.9664623648509055,5.968472564220429
15,0.021704150580468953,0.991900223650541,0.9969326945548025,0.9913722983964676,0.9941447215101376,0.12220438432749206,0.9726573110004527,0.9743315508021391,0.9851311165179778,0.979701572792042,5.987036450703939
