epoch,lr,train_loss,train_acc,train_precision,train_recall,train_f1,val_loss,val_acc,val_precision,val_recall,val_f1,gpu_mem_alloc_gb,gpu_mem_reserved_gb,epoch_minutes
1,0.0001,0.11171959901088523,0.954423646511253,0.9800011939585697,0.9537531954450383,0.9666990548538115,0.16274846019401593,0.9406066093254867,0.9458994708994709,0.9666125979994593,0.9561438695012702,0.1482534408569336,0.19921875,12.925736876328786
2,0.0001,0.03908946884086746,0.9849287743547379,0.9945371240601504,0.9836741808040902,0.9890758266152588,0.13987927978197479,0.9617021276595744,0.9809681423251966,0.9614760746147607,0.9711243088265411,0.1482534408569336,2.38671875,11.763372846444447
3,0.0001,0.03074823607844899,0.9880115250549052,0.9956049107796888,0.9870729723448757,0.9913205840736364,0.17381756202175724,0.9477591670439113,0.9442490556206852,0.9798594214652608,0.9617247097844113,0.1482534408569336,2.388671875,11.772386316458384
4,0.0001,0.026014246593409673,0.989784610424936,0.9962543528516665,0.9889902393678829,0.992609006224762,0.12866266375521626,0.9660479855138071,0.9642998809996033,0.9858069748580698,0.9749348305594546,0.1482534408569336,2.388671875,11.766072297096253
5,0.0001,0.021242849881660638,0.9919606697427011,0.9972525063572326,0.9911399023936788,0.9941868088640238,0.12931781515319807,0.9703033046627433,0.970580404685836,0.985536631522033,0.9780013413816231,0.1482534408569336,2.388671875,11.748710016409555
6,0.0001,0.020985357844139102,0.9910741270576857,0.9970453149226224,0.9900650708807809,0.9935429329368723,0.1494400423709749,0.9639655952919873,0.9629629629629629,0.9840497431738308,0.9733921647279048,0.1482534408569336,2.388671875,11.74989156325658
7,0.0001,0.018802124897564988,0.991618141887127,0.9973674973674974,0.9905298628863584,0.9939369206552789,0.22421867590298242,0.9478497057492078,0.9522673031026253,0.9708029197080292,0.9614457831325302,0.1482534408569336,2.388671875,11.750501910845438
8,0.0001,0.01662732860884686,0.9925852793616893,0.9978947368421053,0.9914013478968162,0.9946374446257868,0.16066942339707335,0.9685830692621096,0.978293311626645,0.9747228980805623,0.9765048412214774,0.1482534408569336,2.388671875,11.724484304587046
9,5e-05,0.008527171973019144,0.9956680300618564,0.9991245732294494,0.9946258424355101,0.9968701323278937,0.17750036139150402,0.9743775464010864,0.9743965862114948,0.9876993782103272,0.9810028864872122,0.1482534408569336,2.388671875,11.79508598248164
10,5e-05,0.009087225702988871,0.9953255022062824,0.9990075890251021,0.9942481989309784,0.9966222118688487,0.18044798040103702,0.9728383884110458,0.9735788630904724,0.986212489862125,0.9798549556809025,0.1482534408569336,2.388671875,11.723247651259104
11,5e-05,0.008571436281134118,0.9956075839696964,0.999007994398086,0.9946548919358587,0.9968266907333547,0.1876928069793739,0.9703033046627433,0.9752621672492605,0.9805352798053528,0.9778916149905635,0.1482534408569336,2.388671875,11.713889880975087
12,5e-05,0.00836205855135664,0.9956881787592432,0.9989789964994166,0.9948001394376017,0.9968851886353051,0.17601984004780466,0.9707559981892259,0.9764309764309764,0.9799945931332793,0.9782095392295757,0.1482534408569336,2.388671875,11.717346235116322
13,2.5e-05,0.005508262901315658,0.997038141484153,0.9993298954054133,0.9963978619567744,0.9978617248752673,0.22823909906301496,0.9711181530104119,0.9694919750630057,0.9879697215463639,0.9786436366070831,0.1482534408569336,2.388671875,11.714374335606893
14,2.5e-05,0.005639397241104615,0.9969776953919929,0.9991553070022137,0.9964850104578201,0.9978183722147885,0.23049442691244404,0.9667722951561792,0.9637251022292573,0.9875642065423087,0.9754990319781027,0.1482534408569336,2.388671875,11.723709380626678
15,2.5e-05,0.005372972581685042,0.9970179927867663,0.9991844343469649,0.9965140599581688,0.997847460585258,0.2668951820300324,0.9582616568583069,0.96463496316142,0.9733711814003785,0.9689833815515038,0.1482534408569336,2.388671875,11.722690244515737
