epoch,phase,lr_group_1,lr_group_2,lr_group_3,train_loss,train_acc,train_precision,train_recall,train_f1,val_loss,val_acc,val_precision,val_recall,val_f1,acc_gap,gpu_mem_alloc_gb,gpu_mem_reserved_gb,epoch_minutes
1,1,0.0007,0.0002,,0.30968483226583093,0.8843263283028752,0.8907187487069144,0.8741167871355477,0.8823396798721128,0.4781069665351244,0.7878678134902671,0.8494400663625051,0.8304947283049473,0.8398605700225549,0.09645851481260803,0.09855318069458008,0.1484375,6.685261491934458
2,1,0.0006880910762880293,0.00019660961971576228,,0.19536929403375364,0.9485200781769458,0.9522158151538368,0.9451649055395454,0.9486772593053854,0.37061933728972946,0.8509732910819375,0.9102710413694722,0.8625304136253041,0.8857579122709606,0.0975467870950083,0.09855318069458008,0.392578125,5.602656972408295
3,1,0.0006531758786226614,0.00018666952767655166,,0.16556325813953965,0.9621204489129778,0.9649533653652037,0.9593753763397695,0.9621562864849632,0.3693019375427647,0.860208239022182,0.9165955024195844,0.8705055420383887,0.8929561841375485,0.10191220989079575,0.09855318069458008,0.392578125,5.598812560240428
4,1,0.0005976338200246983,0.00017085712472806146,,0.14762630479772115,0.9714895931977998,0.9733057045343735,0.9693278841095779,0.9713127217435378,0.35838936723535986,0.8701674966047985,0.9204737732656514,0.8824006488240065,0.9010351966873706,0.10132209659300129,0.09855318069458008,0.392578125,5.603271281719207
5,1,0.00052525,0.00015025,,0.13728208153847254,0.974854425661381,0.9762487757100882,0.972913616398243,0.9745783427034955,0.3698150807508466,0.8670891806247171,0.9144534526139223,0.8842930521762639,0.8991203958218802,0.10776524503666396,0.09855318069458008,0.392578125,5.600955537954966
6,1,0.00044095725626333104,0.00012625249498770082,,0.1267842216066777,0.9802945739557938,0.9820769636267791,0.9783478085235306,0.9802088392423507,0.3612745102051428,0.8749660479855138,0.9188361408882083,0.8921330089213301,0.9052877031753652,0.10532852597027997,0.09855318069458008,0.392578125,5.589203548431397
7,1,0.0003505,0.0001005,,0.11964707213998939,0.9844855030122303,0.9870051008015546,0.9819170358437375,0.9844544940644432,0.35902946650064493,0.873426889995473,0.9149377593360996,0.8941605839416058,0.9044298605414274,0.11105861301675723,0.09855318069458008,0.392578125,5.574825255076091
8,1,0.00026004274373666903,7.47475050122992e-05,,0.1123403371105779,0.9879309302653584,0.9894156291820431,0.9863357050452781,0.9878732665249519,0.35472051649408787,0.8773200543232231,0.9168161125672507,0.8983509056501757,0.9074895883115996,0.11061087594213526,0.09855318069458008,0.392578125,5.57954093615214
9,1,0.00017575000000000004,5.075000000000002e-05,,0.10649921099067669,0.9907315992021116,0.9924790748453358,0.9889600709134131,0.9907164480322906,0.3605453568853475,0.8768673607967407,0.9125444110412682,0.902676399026764,0.9075835824952433,0.11386423840537097,0.09855318069458008,0.392578125,5.585455060005188
10,1,0.00010336617997530164,3.0142875271938532e-05,,0.10264039238820384,0.9922226028087284,0.9940146579804561,0.9903050462437125,0.992156384621637,0.3673972943496682,0.8743322770484382,0.9110807113543091,0.9002433090024331,0.9056295893391352,0.11789032576029024,0.09855318069458008,0.392578125,5.579112605253855
11,1,4.782412137733866e-05,1.4330472323448351e-05,,0.09971456794466296,0.9936128629284117,0.9951391420585733,0.9920449038927476,0.993589613961295,0.36165489525668704,0.8783159800814848,0.9132987438558164,0.9041632873749662,0.9087080559706562,0.11529688284692685,0.09855318069458008,0.392578125,5.58644247452418
12,1,1.2908923711970663e-05,4.390380284237715e-06,,0.09920683525818984,0.9933912272571578,0.9943491422805247,0.9924263787616323,0.9933868301141175,0.3582852860390735,0.8791308284291535,0.9134051547797627,0.9053798323871317,0.9093747878623312,0.11426039882800432,0.09855318069458008,0.392578125,5.591594604651133
13,2,0.0005,0.00015,8e-05,0.1199136031994792,0.9837198525115352,0.9851912456535079,0.9818174405805373,0.9835014497488463,0.339012610523773,0.8878225441376189,0.9215605749486653,0.9099756690997567,0.9157314833707406,0.0958973083739163,0.1046299934387207,0.34375,5.6738380511601765
14,2,0.0004991478310051641,0.0001497455447289969,7.986508747376347e-05,0.11524951848047787,0.9858757631319135,0.9874348511171266,0.9842931937172775,0.9858615195336924,0.3198979701969946,0.8981439565414214,0.9256344144388655,0.9220059475533928,0.9238166181350308,0.08773180659049207,0.1046299934387207,0.34375,5.669526306788127
15,2,0.0004965971451989792,0.0001489839171035028,7.946127148440755e-05,0.11045389808402892,0.9879913763575184,0.9895438029874849,0.9864375402446877,0.9879882300777943,0.308635273301909,0.9041195110909914,0.9328144203195412,0.9233576642335767,0.9280619523130222,0.08387186526652701,0.1046299934387207,0.34375,5.675347554683685
16,2,0.0004923653663518629,0.0001477203198124801,7.879131050460357e-05,0.10781036071783012,0.9887771755556003,0.9897516911734922,0.9877112135176651,0.9887303995953465,0.3037477770843027,0.9056586690810321,0.9323809523809524,0.9263314409299811,0.9293463520477353,0.0831185064745682,0.1046299934387207,0.34375,5.671305672327677
17,2,0.00048648140180430834,0.00014596338450669727,7.785978104717508e-05,0.10595290428497196,0.9900465434909633,0.9915247429305912,0.9886654918295418,0.9900930531044441,0.2907367185068487,0.9091896785875963,0.9369960366270329,0.9267369559340363,0.9318382602786273,0.08085686490336708,0.1046299934387207,0.34375,5.681724456946055
18,2,0.00047898544500043686,0.00014372511283580177,7.667304640287479e-05,0.1041395142135517,0.9900868408857367,0.9917881007970373,0.9884457995667175,0.9901141295611638,0.28617775805021317,0.9126301493888638,0.9387532396671668,0.9302514193025142,0.9344829927354199,0.07745669149687295,0.1046299934387207,0.34375,5.6715259949366255
19,2,0.00046992870092601904,0.00014102079446488342,7.523921317265634e-05,0.10144529052968783,0.9917390340714473,0.9932063569088924,0.9902431157521268,0.9917225228135347,0.30282923617194063,0.9086464463558172,0.9375428023558416,0.9252500675858341,0.931355874549289,0.0830925877156301,0.1046299934387207,0.34375,5.661695102850596
20,2,0.00045937303632650095,0.00013786890263055838,7.35680758913699e-05,0.09973983941873507,0.992323346295662,0.9936570782159018,0.9909746565131552,0.9923140545883682,0.3066348117737006,0.9073789044816659,0.9387474191328287,0.9218707758853745,0.9302325581395349,0.08494444181399607,0.1046299934387207,0.34375,5.683913270632426
21,2,0.0004473905570944003,0.00013429096795003134,7.167105012115758e-05,0.09964732686009836,0.9922830489008886,0.9934411717366811,0.9911678509775583,0.9923032093406483,0.30178577021040925,0.9098234495246718,0.9355102040816327,0.9294403892944039,0.9324654190398698,0.08245959937621683,0.1046299934387207,0.34375,5.671893711884817
22,2,0.00043406311571294643,0.00013031143134514833,6.956109447158872e-05,0.09759123142148075,0.9930285507041969,0.9946041717000886,0.9914900449582531,0.9930446669078921,0.3029223356873215,0.9120869171570847,0.9332614264527437,0.9356582860232495,0.9344583192710091,0.08094163354711226,0.1046299934387207,0.34375,5.665853063265483
23,2,0.00041948175212062254,0.00012595747708611774,6.725262207921679e-05,0.0967585507563616,0.9938344985996656,0.9948032966586822,0.992787974555326,0.9937946138870863,0.2943374987895697,0.9147125396106836,0.9358628139346475,0.936874831035415,0.9363685490407998,0.079121958988982,0.1046299934387207,0.34375,5.669458810488383
24,2,0.00040374607181607226,0.00012125884709538027,6.47614021512419e-05,0.09512868962787309,0.9939352420865991,0.99519870889651,0.9926754668383774,0.9939354864706949,0.2919304682799409,0.9141693073789044,0.9393732970027248,0.9320086509867532,0.9356764825620844,0.07976593470769466,0.1046299934387207,0.34375,5.671789288520813
25,2,0.00038696356545154565,0.00011624763778012082,6.210445224583587e-05,0.09386540467340965,0.9945598517055873,0.9956577677709875,0.9935007622562786,0.9945780955058436,0.28051474802280346,0.9188773200543232,0.941112618724559,0.9375506893755069,0.9393282773564464,0.07568253165126404,0.1046299934387207,0.34375,5.6768230160077415
26,2,0.00036924887456274994,0.00011095808078126199,5.929992202496441e-05,0.09364705213725258,0.9945598517055873,0.9959265981044565,0.993202751075896,0.9945628096177856,0.27539560208902364,0.9214124038026256,0.9413354960800216,0.9413354960800216,0.9413354960800216,0.07314744790296168,0.1046299934387207,0.34375,5.687896772225698
