epoch,train_loss,train_acc,train_precision,train_recall,train_f1,val_loss,val_acc,val_precision,val_recall,val_f1
1,0.14283087847995715,0.9394128669581512,0.9743334239212489,0.9373402277480828,0.9554788943012392,0.11257556661584339,0.9569941149841558,0.9759384023099134,0.959448499594485,0.9676232022357031
2,0.04309422891658776,0.9831355402873204,0.9944645643788829,0.9811468742737625,0.987760831737026,0.1543056948646057,0.9568130375735627,0.959378733572282,0.9768856447688564,0.9680530440024111
3,0.03145594297598081,0.9877898893836513,0.9963017317287937,0.9860562398326749,0.9911525097088796,0.15317407509653164,0.9674060660932549,0.9705803690826424,0.9810759664774263,0.9757999462221028
4,0.02383633559084624,0.9901069895831235,0.9971868131868132,0.9885254473623054,0.9928372405140848,0.1930208072934817,0.96233589859665,0.9738056460369164,0.9698567180319005,0.971827170526886
5,0.023225903703413767,0.9905704096230179,0.9972760822447425,0.9891064373692773,0.9931744596447218,0.13642266665894243,0.964599366229063,0.9727432195385238,0.9744525547445255,0.973597136876224
6,0.019791869430051148,0.9920815619270215,0.9976019885948239,0.9909656053915873,0.9942727232982118,0.13060063364938387,0.9692168401991852,0.9757346993798868,0.9783725331170586,0.9770518358531317
7,0.018148465702280958,0.9925449819669159,0.997952857226414,0.9912851498954218,0.994607828849573,0.15424020972693536,0.9625169760072431,0.9609292502639916,0.9840497431738308,0.9723520769333511
8,0.016551060378920526,0.9927666176381696,0.9977497881294018,0.9918080409016965,0.9947700421018895,0.10905646032397597,0.9715708465368945,0.9825613079019073,0.9748580697485807,0.9786945311439815
9,0.017903647668328738,0.9927666176381696,0.997837079472715,0.9917208924006508,0.9947695849177557,0.18903561767713092,0.9613399728383885,0.9863262173852378,0.9555285212219519,0.9706831445245452
10,0.014142759345693902,0.993874795994439,0.9981021897810219,0.993057169416686,0.9955732882896001,0.18867414316663808,0.9655952919873246,0.9795025963377972,0.9689105163557719,0.9741777656972003
11,0.01583862888382116,0.9933307811649977,0.9980133804668556,0.9923599814083198,0.9951786520618181,0.1535731325332708,0.9658669081032141,0.9717779868297272,0.9774263314409299,0.9745939753352652
12,0.0138284968133752,0.9938344985996656,0.9981893580982419,0.992911921914943,0.995543646054816,0.14627878354130416,0.9674966047985514,0.9700814745558969,0.9817518248175182,0.9758817601612362
13,0.016181651774076065,0.9932904837702242,0.9978387219252899,0.9924761794097141,0.9951502264684037,0.15087911276874116,0.9677682209144409,0.9693415089309517,0.9829683698296837,0.9761073825503356
14,0.012445106642636735,0.9943180673369467,0.9984524643774819,0.993347664420172,0.995893522833178,0.16710295128645564,0.9656858306926211,0.9828036868895309,0.9656663963233306,0.9741596781891321
15,0.014077106502050601,0.9935322681388649,0.9980139606881042,0.9926504764118057,0.9953249930821548,0.18306383534637244,0.961611588954278,0.9742927094668118,0.9682346580156799,0.9712542372881356
16,0.015533494844146695,0.9932501863754508,0.9979258566796179,0.9923309319079712,0.9951205301871677,0.22369344929396862,0.9641466727025804,0.9676729895805504,0.979183563125169,0.9733942488578339
17,0.012874912112743532,0.9943583647317201,0.9979582312448956,0.9938996049267953,0.9959247831402457,0.12228444934383186,0.9690357627885922,0.9745762711864406,0.9793187347931873,0.9769417475728155
18,0.013017746435302418,0.994217323850013,0.9981612818492251,0.9934929119219149,0.9958216256351274,0.1683620749373467,0.9630602082390222,0.9674959871589085,0.9776966747769668,0.9725695845098831
19,0.012294516500749798,0.9941367290604662,0.9977832871518156,0.9937543574250522,0.9957647469763786,0.15843850959293412,0.9664101403349932,0.966786236216288,0.9836442281697756,0.975142378559464
20,0.01227801590402601,0.994721041284681,0.9982788798133022,0.9941029514292354,0.9961865393572427,0.14867275625176102,0.9678587596197374,0.9740207295732939,0.9781021897810219,0.9760571929587913
21,0.013491871225471444,0.9936531603231851,0.9976364856584284,0.993202416918429,0.995414513428925,0.12664261686905937,0.9657763693979176,0.9672523961661342,0.9821573398215734,0.9746478873239437
22,0.011572449401798473,0.9947411899820676,0.9981045694456595,0.9943062979316756,0.9962018132339887,0.13500932486905032,0.9653236758714351,0.9663608562691132,0.9824276831576102,0.9743280380722569
23,0.012477895353004522,0.9945598517055873,0.9981040718702602,0.9940448524285382,0.9960703265995227,0.1310028954113472,0.967949298325034,0.9701014415376401,0.9824276831576102,0.9762256548018805
24,0.012953573591267522,0.9946202977977474,0.9979299688037552,0.9943062979316756,0.9961148378272194,0.13945115039328415,0.964961521050249,0.9740365111561866,0.9736415247364153,0.9738389778949503
25,0.012122577333097337,0.9947008925872942,0.9981916289922707,0.9941610504299326,0.9961722627312288,0.1253944282959176,0.9741059302851969,0.9795037756202805,0.9818869964855367,0.9806939381665991
26,0.012216260354885123,0.9945598517055873,0.9979878688907033,0.9941610504299326,0.9960707840968624,0.13333643274943194,0.9706654594839293,0.9726082308925709,0.9839145715058124,0.9782287326972181
27,0.011271801546201712,0.9951038665350285,0.9982217298778533,0.9947129909365559,0.9964642716836178,0.13628852172903907,0.9685830692621096,0.9739212259712327,0.9793187347931873,0.9766125227471861
28,0.011732677247804817,0.9949225282585481,0.9984247374562427,0.9942481989309784,0.9963320912901723,0.14471144844672904,0.9637845178813943,0.9699167338168144,0.9762097864287645,0.9730530854217192
29,0.011937282672744402,0.9948620821663879,0.9981920508558598,0.9943934464327213,0.9962891278722877,0.11090569440517543,0.9722046174739701,0.9727963728497133,0.9860773181941065,0.9793918238571524
30,0.012803379100069073,0.9949426769559347,0.9982503717959933,0.9944515454334185,0.9963473376311539,0.1541825977501853,0.9663196016296967,0.9834847233691164,0.9659367396593674,0.9746317512274959
31,0.01128498659821248,0.9948620821663879,0.9980468180625601,0.9945386939344644,0.9962896678161421,0.1365868146685374,0.9674966047985514,0.9652346331791143,0.9870235198702352,0.9760074851299873
32,0.013363161929131246,0.9945397030082005,0.9980168567178979,0.9941029514292354,0.9960560592609841,0.13236981929525607,0.9660479855138071,0.9628311585606959,0.9874290348742903,0.974974974974975
33,0.011488883699350099,0.9949628256533215,0.9981632653061224,0.9945677434348129,0.9963622606367499,0.17690255193093699,0.9674060660932549,0.9772172497965825,0.9740470397404704,0.9756295694557271
34,0.011079485328828794,0.9947613386794544,0.9979303911852154,0.9945096444341157,0.9962170813327513,0.15079226718261282,0.9694884563150747,0.9723076923076923,0.9824276831576102,0.9773414912929469
35,0.011647056580421956,0.9950232717454817,0.9983086927361269,0.9945096444341157,0.99640554739002,0.15067200998391703,0.9730194658216388,0.978953049109552,0.9808056231413895,0.9798784604996624
36,0.010792777312105324,0.995204610021962,0.9982510348044074,0.9948291889379502,0.9965371744507493,0.1645860153554688,0.9648709823449525,0.9611842105263158,0.9874290348742903,0.9741298839845313
37,0.011240701270210953,0.995144163929802,0.9981056742342552,0.9948872879386474,0.9964938824795961,0.12337735450752783,0.9744680851063829,0.9819832023841777,0.9798594214652608,0.9809201623815967
38,0.009544378211925003,0.9958292196409502,0.9984848926313336,0.995497327445968,0.9969888719179577,0.1310440013063571,0.9751923947487551,0.9852861035422343,0.9775615031089484,0.9814086036097164
39,0.011208846192945614,0.9950232717454817,0.9980763065084963,0.9947420404369045,0.9964063841240743,0.10771582944126432,0.9759167043911272,0.9777599142550911,0.9864828331981617,0.9821020051137128
40,0.010841090646257254,0.9955471378775362,0.9983099740668434,0.9952649314431792,0.9967851272129525,0.12741500060500296,0.9767315527387959,0.9836109982391982,0.9816166531494999,0.9826128137473784
41,0.011438566295088017,0.9950232717454817,0.9982505758521153,0.9945677434348129,0.9964057566100609,0.11062049361832725,0.9758261656858307,0.9796851876765774,0.9843200865098676,0.9819971680938575
42,0.010169071599157548,0.9957284761540166,0.9985427838657029,0.9952939809435277,0.9969157355679702,0.12060469371897838,0.9743775464010864,0.9770685262169774,0.9848607731819411,0.980949175361831
43,0.010420449740447774,0.9958292196409502,0.9986301769111947,0.9953520799442249,0.9969884338401106,0.16182323775115903,0.9652331371661386,0.9599947534102833,0.9893214382265477,0.974437491678871
44,0.010857685548047342,0.9955471378775362,0.9983680606148915,0.995206832442482,0.9967849401358763,0.13196280668577876,0.9723856948845632,0.9743212518389729,0.9847256015139226,0.9794957983193278
45,0.01081857374241065,0.9954866917853761,0.998280785593566,0.995206832442482,0.9967414390038114,0.14617421712873177,0.9707559981892259,0.9722333466826859,0.9844552581778859,0.9783061320437907
46,0.00996050126956533,0.9957284761540166,0.9982233354692142,0.9956135254473623,0.996916722417755,0.10861491545375043,0.9760072430964237,0.9854362324758404,0.9786428764530954,0.9820278060359444
47,0.00994572085446713,0.9957486248514034,0.9985428263340425,0.9953230304438764,0.9969303286439618,0.1192474799648003,0.9688546853779991,0.9717763509898342,0.982022168153555,0.9768723947828425
48,0.009665104055866363,0.9959501118252705,0.9985432508813332,0.9956135254473623,0.9970762360539369,0.14723611810282647,0.9677682209144409,0.9765836491608013,0.9752635847526359,0.9759231705667524
49,0.009844946936409872,0.9959098144304971,0.9983398864132809,0.9957587729491053,0.9970476592155209,0.14061905696812138,0.9709370755998189,0.9726192066248164,0.9843200865098676,0.9784346657709103
50,0.008148957204094177,0.9969776953919929,0.9988356523257845,0.9968045549616547,0.99781907005147,0.13618957606439563,0.9703938433680398,0.974882471457354,0.9810759664774263,0.9779694131914034
