epoch,train_loss,train_acc,train_precision,train_recall,train_f1,val_loss,val_acc,val_precision,val_recall,val_f1,epoch_time_minutes
1,0.4028828007085163,0.913412593571114,0.9646707283945827,0.9241871082393356,0.9439950784934722,0.418290693868829,0.936971372804164,0.9867002060531457,0.934059531348955,0.9596585289677789,66.81555693149566
2,0.2892685239758678,0.9819462791721708,0.9943126250695876,0.9827569541003354,0.9885010190153881,0.4191580561778,0.9483978529603123,0.989218828640301,0.9460164661177961,0.9671354207132313,72.82608127593994
3,0.2725377272211401,0.9908058124174373,0.9972318442650546,0.9911070793893925,0.9941600286404726,0.40842679498999557,0.9559612882238127,0.9911276097201379,0.953666877770741,0.9720364584678148,65.94300392866134
4,0.2668553444737907,0.9936180830764715,0.9980213839859033,0.9938879759682948,0.9959503913628218,0.4263270591811635,0.9498820754716981,0.9902506225825253,0.9468777707409753,0.968078631460354,74.0731061855952
5,0.2645716623106525,0.9945868193160134,0.9986038628948567,0.9945348690227453,0.9965652125321313,0.38925393035898326,0.966513500325309,0.9882292204439855,0.96982900569981,0.9789426580579172,74.96333387295405
6,0.2628557852176113,0.995761045060913,0.9988365068355224,0.9957914773698964,0.9973116678085252,0.3953947319264997,0.9632807417046194,0.9860641564943612,0.9679290690310323,0.9769124565350787,71.03755691051484
7,0.261367622495275,0.9963775135769852,0.9991722224708041,0.9962376105108968,0.9977027585513603,0.3903970646913719,0.9672251138581652,0.9896541913457311,0.9692970234325522,0.9793698328598122,65.67683422168096
8,0.26075815123353746,0.9966358432408631,0.9991055189480903,0.9966316947854471,0.9978670736473785,0.3931615600258199,0.9692176317501626,0.9887220949094935,0.9727422419252691,0.9806670752885892,66.11717451016108
9,0.2601237637608583,0.9969117862909145,0.9992471956173369,0.9968398902512473,0.9980420913144789,0.3894657032793326,0.9731620039037086,0.9891039610306371,0.9773274224192527,0.9831804281345565,65.87739392518998
10,0.2599991013292312,0.9971114046675473,0.9992101870962454,0.9971298767928976,0.9981689480383181,0.41044740838640376,0.9624471372804164,0.9917921371810958,0.9611652944901836,0.9762385663377545,65.98875784873962
11,0.2589167488108608,0.9974754146484661,0.9994262850841573,0.9973752500204478,0.9983997141815096,0.43428602795193555,0.9587060832791151,0.9921661409043112,0.9560987967067764,0.9737986196220086,65.89342365662257
12,0.2584288005039378,0.9975752238367827,0.9993668340211254,0.997561138829198,0.9984631700373975,0.38702169893413696,0.973222999349382,0.9896068569082324,0.9768967701076631,0.9832107390079421,65.62514893213908
13,0.25852058785332294,0.9976456773814766,0.9994487320837927,0.9975685743815479,0.9985077681644804,0.3930173017664479,0.96988858165257,0.9885808343192223,0.9737302089930335,0.9810993274372424,65.67605340480804
14,0.25847490170602844,0.997768971084691,0.9995232312998652,0.997650365457398,0.998585920231016,0.44767687940199313,0.9551886792452831,0.9939303983673037,0.9499683343888538,0.9714522563597741,69.46222696304321
15,0.258142808541824,0.9978335535006605,0.9994116683298828,0.9978436898184981,0.9986270635903961,0.40603050710657634,0.967387768379961,0.9891251000955751,0.9700316656111463,0.9794853430193892,66.23542005618414
