epoch,learning_rate,train_loss,train_acc,train_precision,train_recall,train_f1,val_loss,val_acc,val_precision,val_recall,val_f1,epoch_time_minutes,best_val_f1_so_far
1,0.0001,0.2500203424189749,0.8894038000443272,0.9451127588222625,0.8923716012084593,0.9179852675302942,0.21031233851988188,0.9113626075147125,0.9635995955510617,0.9017301973506353,0.9316388520354724,5.608484343687693,0.9316388520354724
2,0.0001,0.07678437787154425,0.9706030505127844,0.9887034126960595,0.9686846386242156,0.9785916567621898,0.15762549328162143,0.9430511543684925,0.9580457436730275,0.9568802379021357,0.9574626360992764,4.061677694320679,0.9574626360992764
3,0.0001,0.04287035717180214,0.983659406419375,0.993394592372956,0.9829769927957239,0.9881583366186284,0.17042888283331242,0.9415119963784518,0.9811858608893956,0.9305217626385509,0.955182461495768,4.027465236186981,0.9574626360992764
4,0.0001,0.030560275771124853,0.9880115250549052,0.9952856431729671,0.9873925168487102,0.9913233685745534,0.18308060628670847,0.952105024898144,0.9717071830792473,0.9563395512300622,0.963962122760406,4.0207914789517725,0.963962122760406
5,0.0001,0.0250029648840639,0.9897443130301626,0.9961670129034146,0.9890192888682314,0.9925802830862523,0.20155356536978192,0.9483023992756904,0.9472029346259662,0.9772911597729116,0.9620118421928016,4.0306484738985695,0.963962122760406
6,0.0001,0.020725479300583882,0.9913159114263262,0.996755808855765,0.99070415988845,0.9937207709902534,0.20567461320170302,0.9510185604345858,0.9638749830875389,0.9629629629629629,0.9634187571843938,4.013238565127055,0.963962122760406
7,0.0001,0.017550865265767723,0.992464387177369,0.9975451516745573,0.9915756448989077,0.9945514408088343,0.2063828497102525,0.9523766410140335,0.9503276539973787,0.9801297648012977,0.9649986691509183,4.0062420129776,0.9649986691509183
8,0.0001,0.015739369513036793,0.9927867663355564,0.9976335164193059,0.9919532884034394,0.9947852939462798,0.17855278273706443,0.9634223630602082,0.9631788079470198,0.9829683698296837,0.972972972972973,4.02255205710729,0.972972972972973
9,0.0001,0.01445540566405841,0.9937539038101186,0.9975787631271879,0.9934057634208692,0.9954878900791803,0.2343391988656985,0.958804889090086,0.9712230215827338,0.9671532846715328,0.9691838807991873,4.046266337235768,0.972972972972973
10,0.0001,0.01394868009488524,0.9944188108238803,0.9983072118611914,0.993638159423658,0.9959672135920916,0.22225067153056993,0.9630602082390222,0.9738340563991323,0.9709380913760476,0.9723839176932448,4.025874630610148,0.972972972972973
11,0.0001,0.013195833115490527,0.9941367290604662,0.9981319868071569,0.9934057634208692,0.9957632670888841,0.21117185006984768,0.9588954277953825,0.9734115080447232,0.9649905379832387,0.9691827314689112,4.0178971767425535,0.972972972972973
12,5e-05,0.008643370489895033,0.9963530857730047,0.9988055353241078,0.9959330699511968,0.9973672344325009,0.24052493680501813,0.9644182888184699,0.9750440797504408,0.9717491213841579,0.9733938121995802,4.2613126873970035,0.9733938121995802
13,5e-05,0.007130060030981087,0.9965142753520985,0.999038377480549,0.9959330699511968,0.9974833069056313,0.2622677534266237,0.9674966047985514,0.9781279717429697,0.9732360097323601,0.9756758587980215,4.027592968940735,0.9756758587980215
14,5e-05,0.007382175914955858,0.9963329370756181,0.998747378233512,0.9959621194515454,0.9973528042820573,0.3051033275775978,0.9666817564508827,0.9764163730008132,0.9737766964044337,0.9750947482403898,4.095047609011332,0.9756758587980215
15,5e-05,0.0065957986022774345,0.9970784388789264,0.9990391614499927,0.9967464559609575,0.9978914918059009,0.30600072190326555,0.9642372114078769,0.9756826518136122,0.9708029197080292,0.9732366691510265,4.1642650127410885,0.9756758587980215
16,5e-05,0.0067249355843382414,0.9967963571155125,0.998748216936916,0.9966302579595631,0.9976881134133042,0.28025793990478,0.9632412856496152,0.978510813030386,0.9663422546634225,0.9723884657236126,4.095339973767598,0.9756758587980215
17,2.5e-05,0.005768251781202609,0.9973000745501803,0.9990975780158361,0.9970079014640948,0.9980516459229964,0.27776641690649123,0.964961521050249,0.9773934359253711,0.9701270613679372,0.9737466928973612,4.107568764686585,0.9756758587980215
18,2.5e-05,0.005710805773734652,0.9977634945900747,0.9992724732997701,0.9975017429700209,0.998386322997078,0.2910400545160687,0.9676776822091444,0.9693374216771097,0.9828331981616654,0.9760386603127726,4.091521457831065,0.9760386603127726
19,2.5e-05,0.004761137535026917,0.9979851302613286,0.9991565353964283,0.9979374854752499,0.9985466383745604,0.2912126159357748,0.9675871435038479,0.9721030042918455,0.9797242497972425,0.9758987478120371,4.099955010414123,0.9760386603127726
20,2.5e-05,0.00389859574368827,0.9982672120247426,0.9993601303007388,0.99814083197769,0.9987501090021219,0.34085945639315973,0.9655047532820281,0.9667420513502727,0.9822925114895917,0.9744552463962454,4.094471041361491,0.9760386603127726
21,2.5e-05,0.003725009053182392,0.9983276581169027,0.9994763941007069,0.9981117824773413,0.9987936221857241,0.3635641463914033,0.9636939791760978,0.9666533279978659,0.9795890781292241,0.9730782141658274,4.085103094577789,0.9760386603127726
22,1.25e-05,0.003364763544002803,0.9984686989986098,0.9994765006979991,0.9983151289797816,0.9988954772700849,0.3693819583922496,0.9661385242191036,0.9692677712453234,0.9805352798053528,0.9748689692245666,4.08495215177536,0.9760386603127726
23,1.25e-05,0.0033385458305055233,0.9985492937881566,0.9993894283886724,0.9985184754822217,0.9989537620971257,0.38372661876023595,0.9658669081032141,0.9693809332798502,0.9799945931332793,0.9746588693957114,4.088923132419586,0.9760386603127726
