epoch,train_loss,train_acc,train_precision,train_recall,train_f1,val_loss,val_acc,val_precision,val_recall,val_f1,epoch_time_minutes
1,0.1907430036755748,0.9240808629137439,0.9638792373141475,0.9326086956521739,0.9479861618436385,0.18047821174556258,0.931092507677422,0.9741688591246114,0.9310778374671391,0.9521360528315119,15.911265011628469
2,0.05867596581039443,0.9781010962670521,0.992619303175388,0.9777500593965313,0.98512857647263,0.21975299195591405,0.93100837154516,0.9884193667611186,0.9170190878957595,0.9513814775287561,14.074731528759003
3,0.04740288536962801,0.9828069371497057,0.9947652799672679,0.9819909717272511,0.9883368504115878,0.3441677077608583,0.9142232131588911,0.9926700235834024,0.8900445765230312,0.938560279627565,12.774349268277486
4,0.04029442735152543,0.9853889809298882,0.9953539185555129,0.9849014017581373,0.9901000740404595,0.23080674718666186,0.9284422195111691,0.9891014923524677,0.9128471825351469,0.9494457158141885,12.778729069232941
5,0.035945391608294866,0.986763720963023,0.9958141431587028,0.9863031598954621,0.9910358327961994,0.19208095913254447,0.9379916705229061,0.9880604288499025,0.926963081495028,0.9565371233119065,12.848978463808695
6,0.036288512188840945,0.9867549085269132,0.9958140929535232,0.9862912805892136,0.9910298111068008,0.21261218893246997,0.935846199150225,0.9912048711482871,0.9210195450908675,0.9548241846135617,12.809910452365875
7,0.032251644349146937,0.9876537770101167,0.996175839457185,0.9871465906391067,0.991640661825689,0.17688299223797532,0.95204240461066,0.9844805117877029,0.9498228368956452,0.9668411867364747,12.795518445968629
8,0.03187029580606347,0.9879533998378511,0.996284443805209,0.9874435732953195,0.9918443080190678,0.15529227750106311,0.9489714357830971,0.9748644077681227,0.9553091781917934,0.9649877327175639,12.797785321871439
9,0.03099619815722941,0.9884909584405513,0.9964774388344396,0.9879781420765027,0.9922095894823493,0.12782091650521454,0.956964368347987,0.9764039095483199,0.964853126071551,0.9705941533243266,12.818858261903127
10,0.03000038191650169,0.9883499594627939,0.9960843950569978,0.9881800902827275,0.992116499296329,0.17305123012131005,0.9519162004122671,0.9847649534649356,0.9493656417876328,0.9667413507143481,12.821317028999328
11,0.02913855983797977,0.9889932672988121,0.9966344483968715,0.9885008315514374,0.9925509771996684,0.15700160023501447,0.9526313575364941,0.976040939753431,0.9591953366098983,0.9675448204300455,14.376599915822347
12,0.028351572718297788,0.9890197046071416,0.9963848787378199,0.9887859349014018,0.9925708629962199,0.2151536543352333,0.93858062344874,0.9884868421052632,0.9273631272145388,0.9569499321814,16.56898387670517
