epoch,train_loss,train_acc,train_precision,train_recall,train_f1,val_loss,val_acc,val_precision,val_recall,val_f1,epoch_time_minutes
1,0.3775754421033984,0.8688708951866847,0.9019248395967002,0.9184816428126945,0.9101279482041005,0.14001006896769305,0.9449101796407186,0.9519071310116086,0.9712351945854484,0.9614740368509213,2.497834324836731
2,0.11307026352021161,0.9597390913180387,0.9773513683548286,0.9667081518357187,0.9720006256843422,0.12430385205982543,0.9556886227544911,0.948220064724919,0.9915397631133672,0.9693961952026469,0.8380817373593649
3,0.053364049524872795,0.9844804318488529,0.9915598624570178,0.9869321717485999,0.989240605021051,0.07640480102427155,0.9664670658682635,0.9652892561983472,0.988155668358714,0.9765886287625418,0.8544224540392558
4,0.03942467291059705,0.98897885739991,0.9937597503900156,0.9909769757311762,0.9923664122137404,0.08302309235046768,0.9664670658682635,0.9622331691297209,0.9915397631133672,0.9766666666666667,0.9086542844772338
5,0.026576606676225883,0.9914529914529915,0.9953212726138491,0.9928438083385189,0.9940809968847352,0.18802260968820123,0.9592814371257485,0.9470304975922953,0.9983079526226735,0.9719934102141681,0.8533572673797607
6,0.020524086529108643,0.9941520467836257,0.9965732087227415,0.9953329184816428,0.9959526774595268,0.15620281557874977,0.9580838323353293,0.9455128205128205,0.9983079526226735,0.9711934156378601,0.8477980256080627
7,0.013673727161595275,0.99527665317139,0.9975070115300717,0.9959551960174238,0.9967304997664642,0.14079066332226847,0.9556886227544911,0.9467741935483871,0.9932318104906938,0.9694467382328654,0.8373451630274454
8,0.018413607004543402,0.9925775978407557,0.9968759762574195,0.9928438083385189,0.9948558067030397,0.10211451171529494,0.9532934131736527,0.9693877551020408,0.9644670050761421,0.9669211195928753,1.046540880203247
9,0.01049794272719003,0.9961763382816015,0.9984409105082632,0.9962663347853142,0.99735243731506,0.11636967540576501,0.9640718562874252,0.9546191247974068,0.9966159052453468,0.9751655629139073,0.8172710975011189
10,0.011239676451587419,0.9966261808367072,0.9981314232326378,0.9971997510889857,0.9976653696498055,0.13064185053730848,0.9568862275449102,0.961730449251248,0.9780033840947546,0.9697986577181208,0.8251304666201273
11,0.02483115834065881,0.9925775978407557,0.9956372701776254,0.9940883634100809,0.9948622139187295,0.0556526684370033,0.9724550898203593,0.9701986754966887,0.9915397631133672,0.9807531380753138,0.821252151330312
12,0.014336818502470148,0.9946018893387314,0.9971945137157108,0.9953329184816428,0.9962628464652756,0.12405078697265426,0.9568862275449102,0.9454253611556982,0.9966159052453468,0.9703459637561779,0.8239961942036946
13,0.0038243702296503757,0.99842555105713,0.9993771410775459,0.9984443061605476,0.9989105058365759,0.15136852060926687,0.9676646706586827,0.9577922077922078,0.9983079526226735,0.9776304888152444,0.8282805959383647
14,0.00686330530172016,0.9982006297795771,0.998755444928438,0.998755444928438,0.998755444928438,0.09931967040603396,0.9664670658682635,0.9562398703403565,0.9983079526226735,0.9768211920529801,0.8288541714350383
15,0.003135216095468785,0.9988753936122358,0.9993775287892935,0.9990665836963286,0.9992220320522794,0.09168133539006812,0.9664670658682635,0.9699499165275459,0.9830795262267343,0.9764705882352941,0.8245141903559366
