epoch,train_loss,train_acc,train_precision,train_recall,train_f1,val_loss,val_acc,val_precision,val_recall,val_f1
1,0.11069383676013939,0.9558743527230964,0.981506931166348,0.9543632349523589,0.9677447861435136,0.12412219675497299,0.9548211860570394,0.9573114145565425,0.9760746147607462,0.9666019677397765
2,0.04155824874900968,0.9843041647357499,0.9940963961582518,0.9832093887985127,0.988622920652539,0.1379594784278491,0.96233589859665,0.9685906040268456,0.9753987564206542,0.9719827586206896
3,0.03249429224765073,0.9867623058169289,0.9948996042796424,0.9859690913316291,0.9904142167233254,0.1401977025916661,0.9572657311000453,0.9717983651226159,0.9641795079751284,0.967973944904329
4,0.026387948560233115,0.989361487779815,0.9963392491067767,0.9882930513595166,0.9922998395799912,0.12350037376927711,0.9674060660932549,0.9664634146341463,0.985536631522033,0.9759068397804845
5,0.025159517610722777,0.9902278817674437,0.9965181262252392,0.9893678828724146,0.9929301322138161,0.12881164559283054,0.9703938433680398,0.9751377503023787,0.9808056231413895,0.9779634746276703
6,0.02157278672468144,0.9911748705446193,0.9971911756100416,0.9900650708807809,0.993615346491356,0.10921961977459631,0.9638750565866908,0.9603999473753454,0.9867531765341985,0.9733982265484366
7,0.021625851360423932,0.9907517478994983,0.9966950367055658,0.9899488728793865,0.9933105006193981,0.11679877038689207,0.9653236758714351,0.9691052561187642,0.9794539064612058,0.9742521008403361
8,0.018939535854442587,0.9916987366766739,0.9976006554307116,0.990413664884964,0.99399416909621,0.15535580371361937,0.9709370755998189,0.9792767167817961,0.9772911597729116,0.9782829307895271
9,0.01831855603401342,0.9922024541113417,0.9974569582882699,0.9912851498954218,0.9943614773803453,0.12180596107869406,0.9678587596197374,0.9794417971409122,0.9724249797242498,0.9759207759614732
10,0.017729653940882932,0.9926457254538494,0.9976039505595652,0.9917789914013478,0.9946829431730447,0.13673959667618,0.9627885921231326,0.9687374211726821,0.9759394430927277,0.9723250959531344
11,0.016892384401572605,0.992605428059076,0.9975747304444379,0.9917499419009993,0.9946538086150888,0.12334838311732975,0.9669533725667723,0.9742414025623736,0.9764801297648013,0.9753594815364882
12,0.01473158379715465,0.9930486994015837,0.9980125675873155,0.9919532884034394,0.9949737029968385,0.24151266193582624,0.9473970122227252,0.9692964339804488,0.9516085428494188,0.9603710524520838
13,0.017386731444217006,0.9924845358747557,0.9978070816642788,0.991343248896119,0.9945646630236794,0.12976781493050227,0.9637845178813943,0.9739907884042265,0.9718842930521763,0.972936400541272
14,0.01485674543221468,0.9932501863754508,0.9980131482834186,0.9922437834069254,0.9951201037160046,0.15749982787811462,0.9641466727025804,0.962117212249208,0.9852662881859963,0.9735541605449446
15,0.015148748269503532,0.9933912272571578,0.9980135545688245,0.9924471299093656,0.9952225588440923,0.17244987448279195,0.9641466727025804,0.9640774125132555,0.9831035414977021,0.973497523758533
